CRAFTABLE PLANS LIST	Y/N	QUALITY	TYPE	STATION	CATEGORY	STYLE	RELEASE	NOTES
Alchemical Apparatus, Condenser		Legendary	Formula	Alchemy	Workshop	Miscellaneous	Elsweyr	Master Writ Furnishing
Alchemical Apparatus, Master		Legendary	Formula	Alchemy	Workshop	Miscellaneous	Dragon Bones	Master Writ Furnishing
Alinor Amphora, Delicate		Fine	Design	Provisioning	Hearth	Alinor	Summerset	
Alinor Amphora, Embossed		Superior	Design	Provisioning	Hearth	Alinor	Summerset	
Alinor Amphora, Portrait		Superior	Design	Provisioning	Hearth	Alinor	Summerset	
Alinor Amphora, Slender		Epic	Design	Provisioning	Hearth	Alinor	Summerset	
Alinor Ancestor Clock, Celestial		Legendary	Sketch	Jewelry	Gallery	Alinor	Summerset	Master Writ Furnishing
Alinor Archway, Tall		Superior	Praxis	Enchanting	Structures	Alinor	Summerset	
Alinor Archway, Timeworn		Superior	Praxis	Enchanting	Structures	Alinor	Summerset	
Alinor Armchair, Backless Polished		Superior	Blueprint	Woodworking	Dining	Alinor	Summerset	
Alinor Armchair, Backless Verdant		Epic	Blueprint	Woodworking	Dining	Alinor	Summerset	
Alinor Armchair, Noble		Epic	Blueprint	Woodworking	Dining	Alinor	Summerset	
Alinor Armchair, Overhang		Epic	Blueprint	Woodworking	Dining	Alinor	Summerset	
Alinor Armchair, Polished		Superior	Blueprint	Woodworking	Dining	Alinor	Summerset	
Alinor Bed, Canopy Full		Epic	Blueprint	Woodworking	Suite	Alinor	Summerset	
Alinor Bed, Levitating		Legendary	Pattern	Clothing	Suite	Alinor	Wolfhunter	Master Writ Furnishing
Alinor Bed, Noble Full		Epic	Blueprint	Woodworking	Suite	Alinor	Summerset	
Alinor Bed, Noble Single		Superior	Blueprint	Woodworking	Suite	Alinor	Summerset	
Alinor Bed, Overhang Full		Epic	Blueprint	Woodworking	Suite	Alinor	Summerset	
Alinor Bed, Polished Full		Epic	Blueprint	Woodworking	Library	Alinor	Summerset	
Alinor Bed, Polished Single		Superior	Blueprint	Woodworking	Suite	Alinor	Summerset	
Alinor Bench, Marble		Superior	Praxis	Enchanting	Dining	Alinor	Summerset	
Alinor Bench, Verdant		Epic	Blueprint	Woodworking	Dining	Alinor	Summerset	
Alinor Bookshelf Wall, Timeworn		Epic	Praxis	Enchanting	Library	Alinor	Summerset	
Alinor Bookshelf, Grand Full		Legendary	Blueprint	Woodworking	Library	Alinor	Wolfhunter	Master Writ Furnishing
Alinor Bookshelf, Polished		Epic	Blueprint	Woodworking	Library	Alinor	Summerset	
Alinor Bowl, Carved Wood		Fine	Blueprint	Woodworking	Hearth	Alinor	Summerset	
Alinor Bowl, Millet		Fine	Design	Provisioning	Hearth	Alinor	Summerset	
Alinor Bowl, Shallow Limestone		Fine	Praxis	Enchanting	Courtyard	Alinor	Summerset	
Alinor Bowl, Stemmed Limestone		Fine	Praxis	Enchanting	Courtyard	Alinor	Summerset	
Alinor Brazier, Hanging Coals		Superior	Diagram	Blacksmithing	Lighting	Alinor	Summerset	
Alinor Brazier, Noble		Epic	Diagram	Blacksmithing	Lighting	Alinor	Summerset	
Alinor Brazier, Standing Coals		Superior	Diagram	Blacksmithing	Lighting	Alinor	Summerset	
Alinor Bread Basket, Wrought Iron		Superior	Diagram	Blacksmithing	Hearth	Alinor	Summerset	
Alinor Cabinet, Noble		Epic	Blueprint	Woodworking	Hearth	Alinor	Summerset	
