Name	Quality	Category	Resin	Wax	Ochre	Rune	Wood	Regulus	Bast	Pelt	Patch	Mat Sum
Alchemical Apparatus, Condenser	legendary	Workshop	13.0		9.0			15.0			Elsweyr	37.0
Alchemical Apparatus, Master	legendary	Workshop	13.0		9.0	11.0		15.0			Dragon Bones	48.0
Alinor Amphora, Delicate	fine	Hearth		5.0	4.0	5.0					Summerset	14.0
Alinor Amphora, Embossed	superior	Hearth		7.0				6.0			Summerset	13.0
Alinor Amphora, Portrait	superior	Hearth		9.0	6.0	5.0					Summerset	20.0
Alinor Amphora, Slender	epic	Hearth		10.0	7.0	8.0					Summerset	25.0
Alinor Ancestor Clock, Celestial	legendary	Gallery		9.0	10.0	11.0	15.0				Summerset	45.0
Alinor Archway, Tall	superior	Structures			5.0	9.0		5.0			Summerset	19.0
Alinor Archway, Timeworn	superior	Structures	7.0			10.0					Summerset	17.0
Alinor Armchair, Backless Polished	superior	Dining		6.0			9.0				Summerset	15.0
Alinor Armchair, Backless Verdant	epic	Dining		7.0			12.0		9.0		Summerset	28.0
Alinor Armchair, Noble	epic	Dining		9.0	7.0		12.0				Summerset	28.0
Alinor Armchair, Overhang	epic	Dining		10.0			13.0				Summerset	23.0
Alinor Armchair, Polished	superior	Dining		6.0			10.0				Summerset	16.0
Alinor Bed, Canopy Full	epic	Suite		6.0			13.0		11.0		Summerset	30.0
Alinor Bed, Levitating	legendary	Suite			10.0	13.0	14.0		15.0		Wolfhunter	52.0
Alinor Bed, Noble Full	epic	Suite		6.0			12.0		10.0		Summerset	28.0
Alinor Bed, Noble Single	superior	Suite		5.0			10.0		6.0		Summerset	21.0
Alinor Bed, Overhang Full	epic	Suite		7.0			13.0		10.0		Summerset	30.0
Alinor Bed, Polished Full	epic	Library		7.0			12.0		9.0		Summerset	28.0
Alinor Bed, Polished Single	superior	Suite		4.0			9.0		6.0		Summerset	19.0
Alinor Bench, Marble	superior	Dining	5.0		5.0	9.0					Summerset	19.0
Alinor Bench, Verdant	epic	Dining		8.0			13.0		9.0		Summerset	30.0
Alinor Bookshelf Wall, Timeworn	epic	Library	9.0	6.0	6.0	13.0					Summerset	34.0
Alinor Bookshelf, Grand Full	legendary	Library	13.0	11.0	11.0		15.0				Wolfhunter	50.0
Alinor Bookshelf, Polished	epic	Library		8.0	6.0	6.0	12.0				Summerset	32.0
Alinor Bowl, Carved Wood	fine	Hearth				3.0	5.0				Summerset	8.0
Alinor Bowl, Millet	fine	Hearth		5.0		3.0	5.0				Summerset	13.0
Alinor Bowl, Shallow Limestone	fine	Courtyard				6.0					Summerset	6.0
Alinor Bowl, Stemmed Limestone	fine	Courtyard				7.0					Summerset	7.0
Alinor Brazier, Hanging Coals	superior	Lighting	7.0					10.0			Summerset	17.0
Alinor Brazier, Noble	epic	Lighting	7.0					10.0			Summerset	17.0
Alinor Brazier, Standing Coals	superior	Lighting	8.0				12.0	8.0			Summerset	28.0
Alinor Bread Basket, Wrought Iron	superior	Hearth			6.0			9.0			Summerset	15.0
Alinor Cabinet, Noble	epic	Hearth		7.0	7.0		12.0	6.0			Summerset	32.0
Alinor Candelabra, Wrought Iron	epic	Lighting	8.0	8.0				12.0			Summerset	28.0
Alinor Candles, Stand	superior	Lighting		6.0			9.0				Summerset	15.0
Alinor Candles, Tall Stand	superior	Lighting		7.0			10.0				Summerset	17.0
Alinor Carpet, Alinor Crescent	epic	Parlor	8.0	8.0					12.0		Summerset	28.0
Alinor Carpet, Intricate	fine	Parlor	4.0						7.0		Summerset	11.0
Alinor Carpet, Verdant	epic	Parlor	9.0	8.0					13.0		Summerset	30.0
Alinor Carpet, Vibrant	superior	Parlor	5.0	5.0					9.0		Summerset	19.0
Alinor Chair, Polished	superior	Dining		6.0			9.0				Summerset	15.0
